id	title	abstract	labels
2126	名侦探X不良X现充X痴女X决斗者	第19回角川SNEAKER小说大赏《特别赏》某封书信让悠人战栗不已！「我知道您过去的丑态，若不想被公诸于众的话请您伪装成决斗者。」……。决斗者是什么鬼！？一头冒水的悠人遵从寄件人不明的书信上的命令，与同样被强逼伪装的美雪（名侦探），爱香（不良），里奈（现充）等人成立了伪装部！看来犯人就在这个部门的成员中，然而这时转校生（痴女）也入部了！？虚伪的伪装＆爱情喜剧开幕！	
2127	向魔王太多的世界宣战	「最近流行勇者与魔王大和解的结局吧，为什么我非得负责收拾不可啊……！」合马学园２年Ｇ班的班长——一丛英每天都很忙碌。他不但要安抚想毁灭世界的同班同学，还得前往同班同学毁掉的城市善后，甚至会被同班同学杀掉。这都是因为他只是个渺小的人类，而同班同学却都是魔王！某天，金发美少女．千岁香织转来Ｇ班。她背上长了一对黑翼——果然也是魔王。「我已经受够了魔王转学生啦混蛋！」由35名魔王跟一名普通人。没有勇者外加魔王过多校园生活喜剧，开演！	
2128	通往查拉图斯特拉的阶梯	「被推崇为上古之神的存在，和历史上的英雄们，都是掌控了帕尔斯的人哦。」正体不明的「存在」——帕尔斯。帕尔斯寄生于人的精神之中。被帕尔斯寄生，并成为其宿主的人类，智力，体力都会获得提升。据说有时还会产生特殊的力量。发觉自己感染上帕尔斯的高中生.福原骏介。他的命运一下子发生了改变。操纵帕尔斯的组织的存在。然后，是与同样被帕尔斯寄生的少女的邂逅——。紧迫的故事，即将拉开帷幕！！	
2129	禁忌的转生术与誓约的公主	「找出背叛者」——这是代替逃家的哥哥成为一法师家之主的元所接下的第一道使命。元被告知，有人心怀恶意，利用以历之力量构筑的秘传术法，施下「转生术」之诅咒。若不尽快找出施咒之人并解除诅咒，整族的特殊能力便将就此消失无踪。尔后，分家的古窑遥佳被冠上背叛者罪名。这名少女于十岁时便被指定为一法师家主之婚约对象，并且多次帮助元脱离困境。元深信她无辜，但他有办法成功证明吗！？和风奇幻悬疑剧，于此揭开序幕！	
2130	时槻风乃与暗黑童话之夜	身穿华丽哥德式服装的美少女──时槻风乃，总是在深夜聆听著少女们的烦恼，每当她说起童话故事时…………就会有人死去。被姊姊与母亲当成奴隶般对待的夕子，唯一的梦想不仅被母亲禁止，还被姊姊硬生生地夺去了。总是一味忍耐的夕子，头一次感受到内心对家人萌生了恨意……穿上破碎玻璃鞋的灰姑娘，踩踏著血脚印在城堡走廊奔跑……〈灰姑娘〉美月和哥哥从小遭到母亲虐待，兄妹俩总是饿著肚子。某次母亲拿糖果搪塞他们，美月将糖果一颗颗地丢到地上，此后美月总是会在夜晚丢糖果，想要找出原因的哥哥洸平，沿著糖果路标前进，来到了有著许多糖果的奶奶家，然而，奶奶却是……〈糖果屋〉自从父亲再婚后，翔花一直无法与继母好好相处。厌恶著母亲的继母，试图丢弃母亲留下的戒指，让翔花誓言不惜死也要保护好母亲的遗物。然而某一天，戒指再度消失了，翔花发了狂地寻找……〈生金蛋的鹅〉	
2131	东京侵域：Closed Eden	两年之前，『东京』遭遇了灾难——高中生秋月莲次和著名偶像弓家叶方有着一个共同的秘密。他们是侵入了『临界区域·东京』的『入侵者』，并使用AREA限定的特殊能力『SHOT』持续探索着。在与敌对的政府机关『救务厅』，还有AREA最可怕的怪物，人类之敌『EOM（EnemyofMankind）』三方混战的情况下，他们能够兑现彼此许下的『诺言』吗！？	
2132	神谕学园的超越者	『本座决定要带来变革。』大约一年前，突如其来的「神谕」，使美景原高中的学生们成为超脱人类范畴的《超越者》。以成为最强为目标的超异能战斗，就此揭开序幕——！！在这种狂热的气氛下，始终懒散度曰的渡良濑文乃，偶然帮助了没有获得任何力量的《无能》天枷杏奈。人称不战败的文乃，其真正的能力其实是《六行视》。那是能够阅读这个以小说形式写成的世界，进而加以校正的力量！「妳知道吗？这里是个烂到不行的小说世界喔？」「那你就跟我一起以最强为目标吧！」对一切都感到绝望的少年，遇见对一切都怀抱希望的少女时，故事开始有了转变！	
2133	金色文字使 被四名勇者波及的独特外挂	热爱美食与阅读的「独行侠」高中生丘村日色，和班上的四个现充同学一起闯入了异世界。受到希望他们以「勇者」身分拯救「人类国」的公主请托，现充们各个摩拳擦掌，此时，日色却发现自己获得的称号是――「遭受波及者」？既回不去原本的世界，又对兴致勃勃的勇者们一点兴趣也没有。可是，难得有机会来到异世界，日色也想好好体验这里的生活。为了体验更多未曾见识过的美食与书籍，日色从一连串文字中发现只属于自己的能力「文字魔法」，并且运用这份能力，踏上一个人的冒险旅程！即使来到异世界仍不改「独行侠」作风的日色还不知道，在不久的将来，自己将被称为英雄……	冒险 魔法 异世界 穿越 后宫 
2134	F 黎明的少女与终焉的骑士	春假时突然被召唤到异世界的三岛响，被自称为「福君」的人物宣告选择了她为继承人候选，并将她送到已经荒废的世界——艾普利尔。接受了众神庇护的响，在那里救了骑士路伊一命；他是在幽鬼肆虐的世界中，唯一幸存的人类。「我发誓一定会守护你，并献上我的赤胆忠心。」被命运选中拯救世界的两人，将展开一场超脱不俗的异世界奇幻旅程！发表在超人气网站上的作品书籍化！	
2135	天启的异世界转生谭	于事故中死亡的高中生钢的面前出现的，是身为三岁幼童的游戏玩家女神──希洛喵。她自称为掌管「转生」的神明。被希洛喵赶鸭子上架，使用她所自制且有如电视游戏机一般的〈转生编辑机〉进行下一个人生用的角色创建的钢，基于某个契机，成功取得了比平常要多上20万倍的转生点数！原先期待这将会是转生成作弊角色的机会，没想到取得的却是难以想像的垃圾能力!?由神所赐予的作弊（无用）能力炸裂开来的稀世转生谭，就此开幕！	
2136	噬神之天机神铠	由于吞噬众神的异型兽＜神噬＞的横行暴虐，这个世界变得一片荒芜。人类的命运掌握在能够驾驭对＜神噬＞武装．铠灵装的骑士们手上。然而，却有一人穿越次元之门来到了这个世界。——「让你们久等啦各位！勇者在此大驾光临！」他是一位满怀憧憬，想成为「来自异世界的勇者」而每天不断锻链自我的笨蛋热血高中生·斋贺谏斗。但不幸的是，竟然只有女性能够招唤出铠灵装!?「那我到底是来这个世界做什么的啊!?」「谁知道啊！」无法成为骑士，却自称勇者的·谏斗，和负责监视他的少女骑士·露娜缇所编织而成，「觉醒」奇幻战斗故事！「觉悟吧!!看我把你们通通——斩噬殆尽!!」	
2137	尼特族的异世界就职记	【紧急徵才】『箱庭世界Razgrad　World游戏测试员，需要能长时间派驻工作地点。月薪25万+业绩奖金』23岁的茧居尼特族·山野胜，为了找工作来到就业辅导处，偶然间看到了一则充满谜圈的徵才情报。一路顺利进行到面试阶段，就在签订契约的那一瞬间——胜发现自己站在异世界的土地上。接下来，他得知了一项事实——『世界即将在20年内毁灭』，就算无法阻止世界毁灭，但是只要努力或许还有可能活下来。怀抱着一丝生存希望，以及异世界=后官的满腔热血，胜一路上遇见了魔眼少女、巨乳神官、傲娇魔法师和奴隶少女。胜将会照着自己的步调努力下去！尼特族风格的异世界冒险生活，揭开序幕！	魔法 冒险 搞笑 后宫 异世界 穿越 
2138	万事包办退魔士的还债计划	「恭喜你！今后我将用一辈子的时间，好好地榨出你所有的利用价值。」追傩狗朗被退魔名门「神堂家」逐出家门后，回到过去曾经居住的家中，没想到在那里等待自己的居然是青梅竹马九十九砌，以及高达一百亿圆的庞大债务。由于狗朗已经被逐出家门，无法再以退魔士的身分接受任何委托，于是他听从砌的建议，转行成立「专门接受死者委托的万事包办事务所」，然而找上门的案子，却尽是一些死者们生前难以解决的牵挂，而且每个委托都相当古怪棘手。更糟糕的是，神堂家的后进退魔士——神堂葛，竟然还在后头穷追不舍！？退魔士少年与暴君少女共同谱出的还债喜剧故事，在此揭开序幕！	
2139	Re:从零开始的异世界生活	走出便利商店要回家的高中生‧菜月昴突然被召唤到异世界。这莫非就是很流行的异世界召唤!?可是眼前没有召唤者就算了，还遭遇强盗迅速面临性命危机。这时，一名神秘银发美少女和猫精灵拯救了一筹莫展的他。以报恩为名义，昴自告奋勇要帮助少女找东西。然而，好不容易才掌握到线索，昴和少女却被不明人士攻击而殒命──本来应该是这样，但回过神来，昴却发现自己置身在第一次被召唤到这个异世界时的所在位置。「死亡回归」──无力的少年得到的唯一能力，是死后时间会倒转回到一开始。跨越无数绝望，从死亡的命运中拯救少女！	穿越 奇幻 暗黑 异世界 冒险 
2140	樱子小姐的脚下埋着尸体	「真相就像骨头，虽然隐藏在皮肤、脂肪与血肉之下，却默默支撑着所有的一切。事物之间必有关连，就像生物必有骨肉一样。」担任法医学教授的叔叔说过的这一段话，在年幼的九条樱子心中悄然萌芽。北海道旭川市有栋古老洋房，里面住着妖怪婆婆，和一位酷爱尸体的深闺大小姐——九条樱子。樱子小姐外表看来是个脱俗的大美人，骨子里却是个热中解剖的尸体爱好者，不但在自家院子里埋了两只海豚、一只小鲸鱼、一只棕熊、三头鹿和三匹马的尸体，而且数量仍在持续增加。家住附近的平凡高中生馆脇正太郎，在偶然间认识了樱子小姐，明知她性情古怪、缺乏同理心、说话不经大脑，却又为她偶来的微笑与赤子之心所着迷，跟着她哪儿有尸体就往哪儿跑，为了解谜忙得晕头转向！这天，正太郎的妈妈经营的出租公寓有房客失联，妈妈找他去帮忙查看，怎知房门一开，樱子小姐便心花怒放——眼前是一具发出腐臭的尸体。凡事看重事物本质的她，将凭藉着法医学的丰富知识，抽丝剥茧地解开密室真相！但是，这个行为却在无形中伤了正太郎的心？同样拥有善良之心的两人，为什么会背道而驰呢？	侦探 恐怖 
2141	Fairy Tale 幻想编年史～不懂察言观色的异世界生活～	废柴高中生东宏在游戏中是一名手艺高强的生产职人。某天他莫名掉进了和线上游戏『幻想编年史』相仿的异世界！意外与同班同学近藤春菜相遇后，从制作药水到贩卖咖哩面包，两人靠着高超的技能在异世界打天下！偶然救出遭人算计的艾莉丝公主之后，被卷入国家级阴谋的两人是否能够化险为夷呢？崭新的生产系奇幻轻小说即将揭幕！	魔法 冒险 后宫 异世界 穿越 
2142	中了40亿圆乐透的我要搬到异世界去住了	偶尔买的乐透中了40亿元，一夕致富的志野一良为了逃避闻到钱味而聚集的鬣狗们，躲到祖传的乡下老房子避难，没想到那房子居然和某个发生大饥荒的异世界相连！一良在异世界遇见了美丽的少女薇蕾塔，决定帮她拯救村子。结果一良的名声渐渐传开，传到领主耳中——穿梭于现实世界与异世界之间，以金钱的力量发展异世界，时而送入物资，时而送入技术，一良不断在异世界行善救人。	冒险 恋爱 异世界 穿越 
2143	异世界因果的见闻录	「弘武同学，你听了或或许会很吃惊，其实我——是来自异世界的精灵。」「嗯，我知道。」现在有一件事让满心期待修学旅程的高中生弘武十分在意。因为只有他看得见最近转学进来，自称法露的少女长着妖精尖耳。想到她很可能是制造麻烦的源头，就令他心情沉重。而且如他所担心的，他们在奈良公园遭到一头长了翅膀的鹿袭击。法露和鹿的关系、弘武具备的力量、还有法露寻找的「某件东西」究竟是……女角众多的热闹见闻录恋爱喜剧，出发！	
2144	脑浆炸裂girl	「欢迎光临地狱型人类动物园。」平凡的高中生市位羽奈，一觉醒来竟发现自己与同学们都被关进了牢箍里，还被迫用手机参加赌上性命的死亡游戏！她与虽同样名叫「Hana」，但是性格却截然不同，令人憧憬的同学稻泽花一起挑战这场游戏！「绝对要活下去。摆脱老旧的身体。」在「niconico动画」相关动画播放次数累积超过2500万次的神曲「脑浆炸裂Girl」，化身轻小说登场！	
2145	我的青春被一群家里蹲搞砸了	遭到霸凌的苍衣春哉，在小时候被大家所害怕的、拥有异名的美少女·瑞鸟紫羽所救。春哉原本希望能待在严厉又美丽的她身边，但是却因为必须转学而与她分隔两地。六年后，升上高中的春哉成长为受到众人景仰的坚强男性。这时春哉回到过去和紫羽一起长大的地方，虽然和紫羽再度相遇，但是她却变成了重度的家里蹲……！？一迅社文库新人奖，首次的大赏得奖作品登场！！	
2146	咱们高中的罗蕾莱 命运的一听钟情	你相信「一听钟情」吗？那是田野音好理想中的声音，听到它，充盈的快感从鼓膜向脑部驰骋，令音好一听钟情。音好苦于生来便比常人好上一倍的听觉，一直倒霉透顶，这次终于遇到了「声音优美的你」！音好追逐着似乎拥有那美妙声音的美少女，毫不犹豫地加入了朗读社，社团的前辈们还有同年级的温柔帅哥，人都非常不错……可是，为什么就光遇到麻烦呢！？第16届ENTERBRAINEntame大奖优秀奖获奖作，用美妙的声音解决一切！超级听觉系校园喜剧，开幕！！	
2147	圣黑龙与火药仪式	在精灵诅咒下，受到龙化侵蚀的魔法师·朝雾圭，为了寻求解咒的线索，他成为专门回收寄宿灵魂、散发异能的《古久品》猎人，游走在亚洲各地。某一天，回到学园都市的圭，意外与平时保持有人类形态的特异古久品·金发美少女维多莉雅展开同居？定期让维多莉雅吸收魔力，可以抑制圭的龙化侵蚀，但方法却是……接吻！？就在同时，为了从不择手段，三番四次展开抢夺的收藏家中保护稀有《古久品》维多莉雅，圭赌上了自己的性命——！魔法x火枪的火药动作冒险，盛大开幕！	
2148	大英雄没有职业有哪里不对	「觉醒吧。」听到这句话醒来后，映入眼帘的是陌生的世界。为了在「像是游戏的世界」格林姆迦尔活下去，我们只能徐州呢战斗……不过很抱歉，我对这种安排好的道路可是敬谢不敏啊，我只走我想走的路。一开始我就带着神官伊兹卡和魔法师桃比奈前去杀死半兽人，在哪里，濒死的冒险者将「搜魂剑」托付给我。只要有这样东西，职业什么的就没差了，我会以「无业游民」的身分成为真正的英雄。十文字青带来的崭新英雄物语在此拉开序幕！	
2149	超自然9人组	——Q、你相信这个世界有鬼吗？A、怎么可能会有那种东西啊！居住在吉祥寺的我闻悠太是名部落客，是汇整网络上各种超自然现象讨论的部落格「轻轻松松破假象」的管理人。他脑中每天盘算的则是如何靠联盟行销一夜致富。就在悠太的部落格里，素昧平生的9个人，他们的命运开始于此相互交错。然而命运交错出小小的「不对劲」，最后却牵扯上叫人无法想象的重大事件。黑魔法、死后世界、超能力、占卜、异次元世界、预言、催眠术、都市传说、——世上充斥着搞鬼的名堂！本作为9位怪人揭露超自然现象真相的超自然小说第1弹。	
2150	拉帝提亚霸龙战记	战乱时期，上天派遣传说中的圣人「神王」到各国引导人们。莱鲁斯国的年轻女祭司长拉榭露，在邻国的侵略中，因为自国的神王不知为何一直不现身而束手无策。这时，一名流浪汉带着少女随从找上门来，自称透也的这名青年，大胆地提出「让我来扮演神王」的要求……！？	
2151	神栖丽奈就在此处	她，是【我】的挚友。是作为田径部的部员，虽然班级不同，但每天都能和我一起回家的挚友。她，是【我】的弑亲仇人。我绝不原谅他。我绝不原谅她在杀了我家人以后还那么悠哉悠哉地生活着。她，是【我】的同伴。是和我一起为了消除人形能量……为了拯救陷入危机的世界而一起战斗的同伴。她，是【我】的……她，总是带着异常美丽的微笑。她，是【你】的，谁……？	
2152	期待您大驾光临 老街和果子店栗丸堂	细致的甜蜜滋味，浓厚的老街人情味，温暖疗愈的昔日美好时光。——欢迎光临「栗丸堂」。东京浅草，弥漫着独特老街氛围的道路一隅，瓦片屋顶、色调稳重的红褐色门帘下——座落着自明治时代开业至今的和果子老店「栗丸堂」。最近刚接手「栗丸堂」的第四代老板栗田仁，犀利的目光令人望而生畏，却是个热心善良、手艺精湛的和果子师傅，然而，自过世的双亲手上接下店铺后，店内生意却是一落千丈。担心栗田的友人，为他介绍了「充满谜团的和果子千金」——葵。拥有师傅脾气的栗田，如何愿意坦率接受年轻女性的指导？但与葵的邂逅，将大大改变栗田……和果子的温暖滋味，牵系着人与人之间的羁绊，带来一场又一场的奇妙事件。	恋爱 青春 
2153	绝对城学长的妖怪学讲座	【妖怪学】是一门专业的学科。收集让人感到不可思议的事件，厘清这些怪异的真相，让世人得以启蒙。而负责收集与妖怪有关、包罗万象的知识者——便称为绝对城。东势大学文学院四号馆四楼四十四号资料室里，有位身材高挑、容貌端正、披着一身如斗篷般的黑色羽织的白皙青年，他，是妖怪专家——绝对城阿赖耶。因不可思议的妖怪谜团前来造访的人络绎不绝，而眼前，就有一位因不明原因的怪异现象而烦恼的新生礼音，她即将叩响那扇藏有无数妖怪谜团的大门……任何与妖怪有关的疑难杂症，都请前来四十四号资料室。	
2154	黄昏的禁忌之药～从枝叶间洒落的冬阳～	夏——在群山环绕的御奈神村，发生了动物的集体暴动，这事件是『天女』的道具所引起的。身为天女子孙的皆神孝介与咲夜兄妹解决了这起事件，并确定了对彼此的心意。季节来到了冬天。孝介和咲夜各自回到大学与学园度过日常生活，但咲夜就读的学园就在此时发生了和夏季那件事相仿的怪异事件，两人无法置之不理——知名GALGAME「黄昏的禁忌之药」改编之轻小说。	
2155	逃奏剧reactors	「再见日常！你好非日常！」次代最强异能者，阿赖耶识冥清向往爱与喜剧的非日常，从充满异能战斗的日常中逃了出来。但是，他幸福的日子随着青梅竹马兼式神的少女的登场而迎来终焉——！	
2156	春日坂高中漫画研究社	漫画研究社的高中二年级生吉村里穗子，对恋爱或流行毫无兴趣，只要能画最喜欢的漫画就很幸福了……本来应该是这样，然而，突然出现的现充男子们，使得她的平静日常一口气变得混乱起来!?对帅哥毫无抵抗力的里穗子，苦难的日子就此展开！献上令人怦然心动的青春恋爱喜剧！	恋爱 校园 后宫 
2157	VillainsTail 有坂有哉与渴望被吃的白咲初姫	「我，想要你吃掉我」破坏怪物安宁的，是志愿成为「食物」的少女――。绫里惠史备受期待的新系列，开场！！一份写着「食物」的快递寄到了我家，里面装的是我们学校大名鼎鼎的『淑女』——白咲初姬。她说，有人杀死了她的姐姐并吃掉了内脏，而且自己也希望那个人吃掉。她说，身为『有坂家〈MonsterFamily〉』次男的我——有坂有哉就是犯人，执意让我吃掉她，于是赖着不走了。恰好此时，我从兄妹的房间里找到了某人的内脏和断手……。即便如此，我仍旧要为了守护全家的安宁，为家人进行『无罪推定』，说服初姬，积极寻找其他凶手——。在青春中挣扎求生的恶人们〈Villains〉演绎的校园神秘剧，上演！	
2158	告白预演系列	在niconico动画网站中拥有超高人气，以青春酸甜摇滚曲闻名的创作团队HoneyWorks，其成名曲「告白预演」、「嫉妒的答复」、「初恋绘本」终于小说化！就读樱丘高中三年级的夏树，单恋着自己的青梅竹马、同时也是电影研究社社员的优。然而无法坦率的她，向优表示自己只是把他当作告白的「练习对象」。夏树掩饰真正心意的行动，却造成同为美术社的美樱和灯里的各种误会！她真的能够迎向「正式告白」的那一天吗？	校园 恋爱 
2159	机动防卫者Dowl Masters	──「Dowl」。意即扩张驾驶员的「意念」，使之转换为物理层面战斗能力的人型机动兵器「TitanicDowl」的简称。新手DowlMaster早乙女苍生隶属于地球的贫穷都市机构「自治区」，与姊姊朱里一同迎战了横滨城邦军。正当要遭受强力的敌方机体使出致命一击的瞬间，苍生稀世罕见的超能力就此苏醒了，能力觉醒的他成为了「Exar」。以此为契机，苍生成为了Dowl的最强最新锐部队「索菲亚」的一员，前往宇宙。在宇宙中，与驾驶纯白专用机「珑月」的最强DowlMaster玲音之间命运的邂逅正等著他──	
2160	F级的暴君	如夜空中闪耀星斗的私立七星学园，在校生的成绩极为优异，所有社团表现称霸全国。然而实际上却是采用严格的阶级制度，以及连学生外貌都等级化的体制来管理学生，别名「弱肉强食学园」。在那里由绝对强者──领导【都会狮】派系的【傲慢】神乐坂惠理香所统治。F级的教室里有一位抱持打倒惠理香，站上「顶点」以「暴君」之姿统治学园的危险野心家──「堕落天才」藤白神流……。智力与智力的相互对决，以下反上的故事就此展开！	
2161	noesis虚假的记忆物语	喜爱动漫的高中生，鹿仓时雨与妹妹忧姬，青梅竹马的夜美一起热闹上演着快乐的学生生活。然而，时雨在黄昏的校舍屋顶相遇的，「能够听到死者话语」的少女却将这一切推向了不可预料的惨剧……在传奇推理中开拓战栗的新境界，已压倒性的完成度与冲击的展开引起粉丝们狂热的文字游戏的小说版，由原作者cutlass亲自改稿响应期待隆重推出。	
2162	渣渣捡了圣剑的结果	我目睹到我的同班同学来栖麻央「练习」手持「圣剑」打倒「魔王」时的样子……拿着竹刀，以人体模型为对手……。她放声大喊「到此为止了，魔王。你的野心被粉碎了！」。长得那么可爱，脑子却有问题……然而状况突变。因为，我们发现了真正的圣剑就插在公园的巨树上——欢天喜地的来栖装成勇者似的各种作死，扬言称：「圣剑是我捡到的，一定要归我！」然而来自异世界机关的圣剑管理课的职员追了过来……！捡到圣剑的美少女诙谐幽默的青春奇幻剧，开幕！！	
2163	GE GoodEater	Catch&Eat式四格幻想剧。一如既往的迷宫最下层。于此展开的Catch&Eat的每日。没有任何特技的一般人少年凯因，因为意想不到的缘由而加入了以「吃美味的东西」为目的的「GoodEater」。而凯因遇到的是，原魔王与原勇者与原暗杀者、颇有劣迹的三人。一个是人类最强的存在、战斗天才。但却以「想吃美味的东西」为理由而轻易决定引退，现在已成为肚子一饿就会撒娇的残念美少女的原勇者。一个是魔界最强的存在。虽然是魔王，但是却爱好和平与学问的理性的大姐姐。但是肚子一饿的话立刻就会觉醒破坏冲动的残念美人的原魔王大人。另一个是本应暗杀勇者和魔王而跟在盯上她们的暗杀高手。但是却被凯因做的饭驯服的刺客小姐。被如此充满个性的三人围着的凯因、时而吃迷宫里解决掉的魔物的肉、时而在经常光顾的「空腹赤龙亭」中饱餐一顿，每天过着狩猎&食物的生活。「GJ部」的新木伸＆あるや的最新系列、美味食物式四格小创！	
2164	假想领域的极乐世界	拥有出类拔萃的哥哥·天凌大河；拥有天才级程式能力的美少女妹妹·天凌冬姬——睽达八年再次同住一个屋檐下，兄妹两人首先面临的问题，是该如何赚到活下去的生活费，而冬姬想到的赚钱办法，是进入与人们生活息息相关的基干系统，打到电脑世界（极乐世界）的恶质瑕疵并赚到赏金的游戏——结构体《牡羊座》。尽管陌生的感觉令大河感到困惑，但靠着与生俱来的天资，他在游戏内所向披靡。然而就在某一天，冬姬的好友·西园寺泪遭受到不明瑕疵体袭击——「我会等着你的，王子。」前所未见的作弊级兄妹共谱而成的复合型战斗科幻故事，在此揭开序幕！	
2165	双星的异端骑士	「终于见到你了。从今以后你就是我的骑士了。」这是个魔女与骑士同心协力对抗【黑星的灾厄（迪亚波罗）】的世界。辛是一位骑士，他以能够引出消灭迪亚波罗能力的【魔女骑士】之身份，进入魔女学院就读。众多少女为了魔女骑士的力量，因而纷纷想要成为辛的搭档。期间，辛与小时候认识的少女赛娜再度相逢。虽然赛娜是遭受诅咒的【黑魔女】，周围的人都避之唯恐不及，但为了遵守约定成为辛的搭档，她展开一连串的特训，从而赶紧掌握自己的各项能力。为了赛娜，为了达到迪亚波罗，辛的魔女骑士传说就此拉开序幕！	
2166	军师无所不知	我·榑井幸人在临死之际许了愿。如果有来生，我想成为一个熟知他人的人——当我再次醒来时，已然身处于战争中的异世界。临死前的愿望遭到曲解，我被赋予了某种外挂技能。王子·狄奥路德将我捡回，成为军师的我，不但抓住被称为「至高无上少女」的绝世美女苏菲亚的心，还和与狄奥路德处于敌对立场的姐姐·美女将军辉夜一对一单挑，並在与邻国的战争中获得胜利——	
2167	第8号学生食堂少女	高中二年级的米田白由于有重度味噌过敏而逃到了东京。有一天，妹妹那古乃为了将白带回家乡而来到东京，谁知白打工的学生食堂「满天」突然在眼前爆炸了！以日本最大规模为傲的这家学生食堂当中，共有八家食堂逐鹿中原，日以继夜展开死亡游戏。看到白为了心爱的代理店长天在惨烈竞争中拚命求生存的模样，大受感动的那古乃决定帮助食堂重整旗鼓。废柴食堂「满天」能否重振雄风，全看那古乃的本事了。然而，那古乃可是「魔都」名古屋的活化身……？名古屋系痛快学生食堂战斗爱情喜剧，堂堂开店！	校园 搞笑 
2168	天才程式少女	圣诞夜的夜里，打工完回到家的少年·池野朋生，发现一名银发少女倒在自家门前。朋生让自称为丽奈的她，顺势在家里住了下来。不谙世事的丽奈，却对电脑非常熟悉，似乎怀抱着什么秘密的样子。然而数日后，自称是丽奈姐姐的少女现身，并打算强行将她带回去。看来丽奈似乎是军事企业埃癸斯社最重要的工程师，也是一手掌握了这国家国防兵器的天才少女。而为了从直逼而来的埃癸斯追兵手中逃离，朋生和丽奈他们漫无目的的逃跑之旅开始了──荣获第3回讲谈社轻小说文库新人赏《大赏》，风格鲜明强烈的全新正宗BoyMeetsGirl故事，就此展开！	
2169	神兵编年史 Chronicle Legion	皇女和少年相遇，决意反抗命运──！！二十世纪末，极东的岛国『皇国日本』被复活的古罗马英雄‧凯撒侵略，受到邻国『东方罗马帝国』实质上的支配！帮助凯撒成为最强征服者的力量，名为『巨兵军团』。此乃列强各国充当主力兵器的神秘军团，是有翼巨兵组成的军势。皇国日本的皇女‧藤宫志绪理内心怀有成为日本霸主的野心，如今她终于采取行动了。皇女选择的心腹大将，是一个看起来平凡无奇的高中生‧橘征继。然而，他也是从远古之世重生的武人，和大英雄凯撒一样伟大的『军团长』……！！复活的英雄和美少女交织的壮烈幻想战记，正式开幕！！	
2170	说谎的天使死了！	荣获第10届Super Dash小说新人奖特别奖，史上最年轻得奖者的精采出道作!!似乎能空手击倒熊，以成为一名小说家为目标的消极青年‧中羽织夏彦，某天走在路上时，一名可爱的女生天使以飞快的速度降临到他眼前。天使似乎有事找夏彦，但不论夏彦再怎么拒绝，天使仍旧纠缠着他不放。结果拗不过对方的夏彦，对她提出「为什么要缠着我？」的质问，而他得到了「你快死了唷。」的回答。根据天使的说法，夏彦近期正身处死亡命运当中，因此身为天使的她带着使命感，想要将夏彦从「死亡命运」中拯救出来。	奇幻 冒险 科幻 恋爱 
2171	枪械魔法异战	当亡国女王伊莉丝遭遇魔兽袭击陷入危机之际，《黑铠》突然从半空中现身。穿着铠甲的男子手持伊莉丝从未见过的手杖——冲锋枪与巨剑——超硬合金刀，在转眼间打到魔兽……！他是来自异世界的士兵，廉。他与她的伙伴AI米涅尔瓦，在原本生活的世界是为了与魔兽战斗而生的特殊战士。魔兽这个共同的敌人，使廉感受到两个世界的关联性，他便一边协助伊莉丝等人，一边开始搜索异世界……！魔法与火炮交错，充满冲击力的战斗动作剧登场！	
2172	鲜血妖精	在一个边境的村庄里住着一对人类姐弟，在森林的深处住着一对妖精兄妹。他们四个彼此是关系要好的朋友，一直过着平静生活……然而直到有一天，妖精突然开始对人类世界发动侵略。四个人就此感情破解，分道扬镳。不久之后，人类少年伊米纳与妖精少女艾莉丝共赴战场。少年所携之剑，其色鲜红，如往昔所流之物，亦如将来要流之物……由沉痛的鲜血点缀的黑暗奇幻记，现在揭幕！	
2173	果冻日和	＜特征＞半透明又软呼呼。＜敬请放心＞果冻球并不会危害人类。若是您感到不知所措，欢迎联络县内服务柜台，我们可派遣专业技术人员前往驱逐——我在县内果冻球咨询服务柜台工作，目标是当个无忧无虑的公务员……然而某天却在出差地点遇见比「果冻球」还要可疑的「魔法少女」。拜这位操纵果冻球施展魔法、且自称「魔法少女」的绘娜所赐，忽然间我展开了天天被超自然现象与妄想追逐的生活……拜托放我一马吧……毕竟我可是个公务员嘛？	
2174	我的生存意义	一但选择了某人，没被选上的人就必须牺牲。某日放学后，高中生斗和同时被两名要好的同学告白。究竟该选择谁才好，他的心里早有答案，然而，平稳的日常却在一夕之间崩坏。「看不见的墙」突然出现，学校被迫与外界隔离，学生们全困在「食人怪物」徘徊的校园内。「不愿失去任何珍视之人」斗和为此拚命奋战，但——紧凑悬疑、撼动灵魂的恐怖战争正式揭幕！！	
2175	方舟九号 ARK NINE	那一天，人类失去了半个世界——为阻挡「黑雾」的威胁而建造的巨大「高墙」划分地球，全世界有半数人口失去故乡。为收容变成难民的人们而建造的人工都市「方舟」，现在已经以国家的形式成为人们的新故乡。少数的日本人残存者之一，紫堂缘在第九号「方舟」经营侦探事务所。他善用各种枪炮武器，能使用发动全身之「气」的紫堂流忍术。某天，一桩追捕男性窃盗嫌疑犯的简单工作找上门来，但男人在缘面前揭露了自己的真正身分。面对悄声袭来的巨大阴谋和组织，缘真的有胜算吗！？	
